,CHARTER,city,url,state,name,charter_id
7044,0,Century City,,CA,Banamex USA,18923
7045,0,Elmore City,www.oldglorybank.com,OK,Old Glory Bank,18924
7046,0,Dallas,,TX,First Interstate Bank of Oak Cliff,18925
7047,0,St. Louis County,,MO,Mark Twain South County Bank,18926
7048,24484,Wabash,,IN,"Frances Slocum Bank and Trust Company, National Association",18927
7049,15195,Glenrock,,WY,First National Bank of Glenrock,18928
7050,0,Houston,,TX,Horizon Capital Bank,18929
7051,0,Easton,,MD,"The Talbot Bank of Easton, Maryland",1893
7052,0,Belle Glade,http://www.bankofbelleglade.com,FL,Bank of Belle Glade,18930
7053,0,Garland,,TX,Texas Commerce Bank-Garland,18931
7054,0,Paris,,TX,First RepublicBank Paris,18932
7055,0,Leonardtown,,MD,Mercantile Southern Maryland Bank,18933
