,CHARTER,CITY,WEBADDR,STNAME,NAME,ID
395,0,Verona,,Kentucky,"Star Bank, Northern Kentucky",10521
396,0,Warsaw,,Kentucky,Community First Bank of Kentucky,10522
397,0,Crowley,https://www.bankofcommerceandtrust.com,Louisiana,Bank of Commerce & Trust Co.,10523
398,0,Dubach,,Louisiana,Dubach State Bank,10524
399,0,Franklin,,Louisiana,The St. Mary Bank and Trust Company,10525
400,0,Leesville,,Louisiana,The Vernon Bank,10526
401,0,Monroe,,Louisiana,Central Bank,10527
402,0,Natchitoches,www.exchange-bank.com,Louisiana,"Exchange Bank and Trust Company, Natchitoches, Louisiana",10528
403,0,Winnsboro,cpbonline.com,Louisiana,Citizens Progressive Bank,10531
404,0,Jonesville,www.clbbank.com,Louisiana,CLB The Community Bank,10532
405,0,Winnsboro,WWW.WINNSBOROBANK.COM,Louisiana,Winnsboro State Bank & Trust Company,10533
406,0,Deridder,,Louisiana,City Savings Bank & Trust Company,10534
